5VI,LOGISTICS HOLDINGS LIMITED
L28,LONGCHEER HOLDINGS LIMITED
5IE,LORENZO INTERNATIONAL LIMITED
M22,LOTTVISION LIMITED
F1E,LOW KENG HUAT (SINGAPORE) LTD
594,LOYZ ENERGY LIMITED
L07Z,LTA $500M4.17%N160510
L19,LUM CHANG HOLDINGS LIMITED
L09,LUNG KEE (BERMUDA) HLDGS LTD
L34,LUXKING GROUP HOLDINGS LIMITED
L46,LUZHOU BIO-CHEM TECHNOLOGY LTD
N14,M DEVELOPMENT LTD.
B2F,M1 LIMITED
M41,MACQUARIE INT'L INFRA FUND LTD
576,MAGNUS ENERGY GROUP LTD.
5TH,MALACCA TRUST LIMITED
M04,MANDARIN ORIENTAL INTL LTD
L02,MANHATTAN RESOURCES LIMITED
5QR,MANN SENG METAL INTL LIMITED
N2IU,MAPLETREE COMMERCIAL TRUST
RW0U,MAPLETREE GREATER CHINACOMM TR
ME8U,MAPLETREE INDUSTRIAL TRUST
M44U,MAPLETREE LOGISTICS TRUST
5LY,MARCO POLO MARINE LTD.
5OX,MARY CHIA HOLDINGS LIMITED
M15,MATEX INTERNATIONAL LIMITED
5UF,MAXI-CASH FIN SVCS CORP LTD
A27,MDR LIMITED
5FF,MEDI-FLEX LIMITED
546,MEDTECS INTERNATIONAL CORP LTD
5DS,MEGACHEM LIMITED
M30,MEGHMANI ORGANICS LIMITED
5MS,MEMSTAR TECHNOLOGY LTD.
M26,MEMTECH INTERNATIONAL LTD
5NF,MENCAST HOLDINGS LTD.
EE6,MERCATOR LINES (SINGAPORE) LTD
5DX,METAL COMPONENT ENGG LTD
5HV,METAX ENGINEERING CORP LIMITED
QG1,METECH INTERNATIONAL LIMITED
M01,METRO HOLDINGS LIMITED
M11,MFG INTEGRATION TECHNOLOGY LTD
5BM,MFS TECHNOLOGY LTD
5DD,MICRO-MECHANICS (HOLDINGS) LTD
5EN,MIDAS HLDGS LIMITED
C68,MIRACH ENERGY LIMITED
M03,MIYOSHI PRECISION LIMITED
5BT,MOYA ASIA LIMITED
M06,MULTI-CHEM LIMITED
MF6,MUN SIONG ENGINEERING LIMITED
F86,MYP LTD.
PH2S,N212100H 140201
R1KS,N213100S 150201
R1LS,N513100T 180401
PH1S,NA12100N 420401
N4E,NAM CHEONG LIMITED
G0I,NAM LEE PRESSED METAL INDS LTD
5IF,NATURAL COOL HOLDINGS LIMITED
5UJ,NEO GROUP LIMITED
N03,NEPTUNE ORIENT LINES LIMITED
N01,NERATELECOMMUNICATIONS LTD
5QY,NET PACIFIC FIN HLDGS LTD
N08,NEW TOYO INT HLDGS LTD
5FX,NEW WAVE HOLDINGS LTD.
B07,NEXT-GEN SATELLITE COMM LTD
5AC,NH CERAMICS LTD
5GF,NICO STEEL HOLDINGS LIMITED
G3B,NIKKO AM SINGAPORE STI ETF
N32,NIPPECRAFT LIMITED
547,NOBEL DESIGN HOLDINGS LTD
N21,NOBLE GROUP LIMITED
MR7,NORDIC GROUP LIMITED
MR8,NOVO GROUP LTD.
N02,NSL LTD.
5HC,NTEGRATOR INTERNATIONAL LTD
R1MS,NX13100H 230701
R1NS,NZ13100V 330901
O15,OCBC BK 4.2% NCPS
F4B,OCBC BK 5.1%NCPS 100
O05,OCEAN SKY INTERNATIONAL LTD
579,OCEANUS GROUP LIMITED
S6M,OKH GLOBAL LTD 500
S3N,OKH GLOBAL LTD.
5CF,OKP HOLDINGS LIMITED
O32,OLAM INTERNATIONAL LIMITED
R9JZ,OLAM US$750M 6.75%B180129
5ML,OLD CHANG KEE LTD.
5HG,ONIONTECH LIMITED
5FI,ORIENTAL GROUP LTD.
O23,OSIM INTERNATIONAL LTD
O08,OSSIA INTERNATIONAL LTD
G4F,OTTO MARINE LIMITED
AJ2,OUHUA ENERGY HOLDINGS LIMITED
O39,OVERSEA-CHINESE BANKING CORP
RQ1,OVERSEAS EDUCATION LIMITED
LJ3,OVERSEAS UNION ENTERPRISE LTD
5UX,OXLEY HOLDINGS LIMITED
5UV,P99 HOLDINGS LIMITED
P11,PACIFIC ANDES RESOURCES DEVLTD
P15,PACIFIC CENTURY REGIONAL DEVTS
P47,PACIFIC HEALTHCARE HLDGS LTD
5EW,PAN ASIAN HOLDINGS LIMITED
P36,PAN HONG PROPERTY GROUP LTD
H49,PAN PACIFIC HOTELS GRP LIMITED
P52,PAN-UNITED CORPORATION LTD
O9E,PARKSON RETAIL ASIA LIMITED
C2PU,PARKWAYLIFE REIT
P06,PCA TECHNOLOGY LIMITED
IX2,PEC LTD.
P13,PENGUIN INTERNATIONAL LIMITED
P05,PEOPLE'S FOOD HOLDINGS LIMITED
N9LU,PERENNIAL CHINA RETAIL TRUST
P34,PETRA FOODS LIMITED
P31,PHARMESIS INTERNATIONAL LTD.
P82,PLASTOFORM HOLDINGS LIMITED
5PI,PLATO CAPITAL LIMITED
P07,PNE INDUSTRIES LTD
5BS,PNE MICRON HOLDINGS LTD
P01,POH TIONG CHOON LOGISTICS LTD
5BI,POLARIS LTD.
5AE,POLLUX PROPERTIES LTD.
P29,POPULAR HOLDINGS LIMITED
583,PROGEN HOLDINGS LTD
L6T,PSL HOLDINGS LTD
J74,PTERIS GLOBAL LIMITED
QC7,Q & M DENTAL GROUP (S) LIMITED
Q01,QAF LTD
552,QIAN HU CORPORATION LIMITED
CL7,R H ENERGY LTD.
NR7,RAFFLES EDUCATION CORP LTD
R01,RAFFLES MEDICAL GROUP LTD
R14,RAMBA ENERGY LIMITED
RF1U,RELIGARE HEALTH TRUST
5DW,RENEWABLE ENERGY ASIA GRP LTD
T13,RH PETROGAS LIMITED
B1ZU,RICKMERS MARITIME
AP4,RIVERSTONE HOLDINGS LIMITED
R07,ROTARY ENGINEERING LIMITED
A50,ROWSLEY LTD.
E8Z,ROXY-PACIFIC HOLDINGS LIMITED
J8O,RYOBI KISO HOLDINGS LTD.
M09,S I2I LIMITED
M1GU,SABANA SHARI'AH COMPLIANT REIT
DZ8U,SAIZEN REAL ESTATE INV TRUST
5DO,SAKAE HOLDINGS LTD.
E6R,SAMKO TIMBER LIMITED
S56,SAMUDERA SHIPPING LINE LTD
580,SANTAK HOLDINGS LIMITED
NF1,SAPPHIRE CORPORATION LIMITED
S58,SATS LTD.
5PL,SBI OFFSHORE LIMITED
S61,SBS TRANSIT LTD
T20,SCINTRONIX CORPORATION LTD.
5HW,SCORPIO EAST HOLDINGS LTD.
528,SECOND CHANCE PROPERTIES LTD
566,SEE HUP SENG LIMITED
5FQ,SELECT GROUP LIMITED
U96,SEMBCORP INDUSTRIES LTD
S51,SEMBCORP MARINE LTD
S69,SERIAL SYSTEM LTD
IW5,SEROJA INVESTMENTS LIMITED
T57,SHANGHAI ASIA HOLDINGS LIMITED
S07,SHANGRI-LA ASIA LIMITED
5UE,SHC CAPITAL ASIA LIMITED
OV8,SHENG SIONG GROUP LTD
MA6Z,SIA $300M 2.15%B150930
S59,SIA ENGINEERING CO LTD
5GB,SIIC ENVIRONMENT HOLDINGS LTD.
5CP,SILVERLAKE AXIS LTD
S05,SIM LIAN GROUP LIMITED
B7K,SIN GHEE HUAT CORPORATION LTD.
KF4,SIN HENG HEAVY MACHINERY LTD
A26,SINARMAS LAND LIMITED
5UN,SINCAP GROUP LIMITED
5IC,SING HOLDINGS LIMITED
S35,SING INVESTMENTS & FINANCE LTD
C6L,SINGAPORE AIRLINES LTD
C6U,SINGAPORE AIRLINES LTD 200
S68,SINGAPORE EXCHANGE LIMITED
S45U,SINGAPORE INDEX FUND
S30,SINGAPORE LAND LIMITED
5OT,SINGAPORE MEDICAL GROUP LTD
S08,SINGAPORE POST LIMITED
T39,SINGAPORE PRESS HLDGS LTD
S49,SINGAPORE REINSURANCE COR LTD
S19,SINGAPORE SHIPPING CORP LTD
S63,SINGAPORE TECH ENGINEERING LTD
Y45,SINGAPORE WINDSOR HOLDINGS LTD
S23,SINGAPURA FINANCE LTD
5CE,SINGHAIYI GROUP LTD.
Z74,SINGTEL
Z77,SINGTEL 10
Z78,SINGTEL 100
5HH,SINJIA LAND LIMITED
F3V,SINO CONSTRUCTION LIMITED
JS5,SINO GRANDNESS FOOD IND GP LTD
AD8,SINO TECHFIBRE LIMITED
X06,SINOPIPE HOLDINGS LIMITED
C9Q,SINOSTAR PEC HOLDINGS LIMITED
D3W,SINOTEL TECHNOLOGIES LTD.
5CN,SINWA LIMITED
